Code,Name,Method,Date,Conc
A,Амомум плотный,0,14.05.2018,213.34
A,Амомум плотный,40,14.05.2018,228.25
A,Амомум плотный,96,14.05.2018,103.2
B,Бамбуза,0,14.05.2018,117.21
B,Бамбуза,40,14.05.2018,102.29
B,Бамбуза,96,14.05.2018,93.12
C,Воробейник,0,14.05.2018,119.21
C,Воробейник,40,14.05.2018,187.03
C,Воробейник,96,14.05.2018,125.82
D,Гардения,0,17.05.2018,671.81
D,Гардения,40,17.05.2018,367.63
D,Гардения,96,17.05.2018,558.46
E,Гвоздика,0,17.05.2018,503.9
E,Гвоздика,40,17.05.2018,539.03
E,Гвоздика,96,17.05.2018,265.12
F,Гречавка шероховатая,0,04.05.2018,270.41
F,Гречавка шероховатая,40,04.05.2018,222.05
F,Гречавка шероховатая,96,04.05.2018,126.15
G,Дудник китайский,0,28.04.2018,331.39
G,Дудник китайский,40,28.04.2018,288.32
G,Дудник китайский,96,28.04.2018,150.29
H,Кендырь синеватый,0,17.05.2018,1054.68
H,Кендырь синеватый,40,17.05.2018,1193.14
H,Кендырь синеватый,96,17.05.2018,489.64
I,Лимонник китайский,0,28.04.2018,98.32
I,Лимонник китайский,40,28.04.2018,77.11
I,Лимонник китайский,96,28.04.2018,57.39
J,Плод Мелии,0,14.05.2018,328.32
J,Плод Мелии,40,14.05.2018,225.04
J,Плод Мелии,96,14.05.2018,219.78
K,Пория Кокосовидная,0,04.05.2018,69.48
K,Пория Кокосовидная,40,04.05.2018,39.64
K,Пория Кокосовидная,96,04.05.2018,28.7
L,Роза морщинистая,0,17.05.2018,4722.48
L,Роза морщинистая,40,17.05.2018,5863.13
L,Роза морщинистая,96,17.05.2018,2185.09
M,Сафлор красильный,0,17.05.2018,1636.52
M,Сафлор красильный,40,17.05.2018,1659.69
M,Сафлор красильный,96,17.05.2018,929.95
N,Солодка уральская,0,04.05.2018,371.98
N,Солодка уральская,40,04.05.2018,1207.18
N,Солодка уральская,96,04.05.2018,922.36
O,Сосапариль голая,0,14.05.2018,1026.27
O,Сосапариль голая,40,14.05.2018,1667.14
O,Сосапариль голая,96,14.05.2018,1336.97
P,Форзиция подвешенная,0,04.05.2018,1332.39
P,Форзиция подвешенная,40,04.05.2018,1386.63
P,Форзиция подвешенная,96,04.05.2018,1203.27
Q,Цветы хризантемы,0,04.05.2018,454.21
Q,Цветы хризантемы,40,04.05.2018,679.29
Q,Цветы хризантемы,96,04.05.2018,672.67
R,Цедра мандарина,0,17.05.2018,1404.27
R,Цедра мандарина,40,17.05.2018,541.44
R,Цедра мандарина,96,17.05.2018,4486.05
S,Шлемник байкальский,0,04.05.2018,953
S,Шлемник байкальский,40,04.05.2018,3836.21
S,Шлемник байкальский,96,04.05.2018,2987.57
T,Ямс китайский,0,14.05.2018,101.6
T,Ямс китайский,40,14.05.2018,96.07
T,Ямс китайский,96,14.05.2018,89.82
